year;month;date;service;depart_st;arrival_st;avg_duration;exp_monthly_trains;cancelled_nb;delay>15;delay>30;delay>60;delay_external;delay_infrastructure;delay_traffic_management;delay_rolling_stock;delay_station_management;delay_passenger_related
2018;Jan;2018-01-01;National;PARIS EST;REIMS;45;218;1;6;0;0;18.75;12.5;6.25;18.75;43.75;0.0
2018;Jan;2018-01-01;National;REIMS;PARIS EST;46;230;1;20;3;0;17.95;41.03;20.51;5.13;0.0;15.38
2018;Jan;2018-01-01;National;STRASBOURG;NANTES;286;40;1;5;2;2;20.0;20.0;40.0;20.0;0.0;0.0
2018;Jan;2018-01-01;National;DOUAI;PARIS NORD;77;197;3;10;5;3;36.36;18.18;22.73;18.18;4.55;0.0
2018;Jan;2018-01-01;National;LILLE;PARIS NORD;63;579;9;38;17;10;36.23;8.7;21.74;23.19;5.8;4.35
2018;Jan;2018-01-01;National;LILLE;MARSEILLE ST CHARLES;307;190;4;35;13;7;57.14;19.05;4.76;9.52;4.76;4.76
2018;Jan;2018-01-01;National;PARIS NORD;DOUAI;69;192;2;11;5;3;37.5;33.33;12.5;12.5;4.17;0.0
2018;Jan;2018-01-01;National;NANTES;PARIS VAUGIRARD;143;62;0;5;3;1;0.0;50.0;0.0;16.67;16.67;16.67
2018;Jan;2018-01-01;National;TOURCOING;MARSEILLE ST CHARLES;309;31;1;1;1;0;100.0;0.0;0.0;0.0;0.0;0.0
2018;Jan;2018-01-01;National;BELLEGARDE (AIN);PARIS LYON;162;259;3;42;21;9;54.9;19.61;15.69;1.96;5.88;1.96
2018;Jan;2018-01-01;National;LYON PART DIEU;MONTPELLIER;112;303;5;34;19;8;30.77;33.33;10.26;17.95;7.69;0.0
2018;Jan;2018-01-01;National;MACON LOCHE;PARIS LYON;99;225;1;38;10;1;16.22;27.03;32.43;21.62;2.7;0.0
2018;Jan;2018-01-01;National;MARNE LA VALLEE;MARSEILLE ST CHARLES;217;323;6;49;22;10;46.67;16.67;6.67;20.0;6.67;3.33
2018;Jan;2018-01-01;National;MONTPELLIER;LYON PART DIEU;112;299;6;46;21;4;28.57;34.29;22.86;11.43;2.86;0.0
2018;Jan;2018-01-01;National;PARIS LYON;MARSEILLE ST CHARLES;202;482;2;43;20;8;41.03;30.77;12.82;15.38;0.0;0.0
2018;Jan;2018-01-01;National;PARIS LYON;MULHOUSE VILLE;168;299;5;39;18;4;15.91;29.55;18.18;27.27;2.27;6.82
2018;Jan;2018-01-01;National;PARIS LYON;VALENCE ALIXAN TGV;130;323;0;33;17;7;15.0;30.0;25.0;25.0;5.0;0.0
2018;Jan;2018-01-01;National;PERPIGNAN;PARIS LYON;305;166;0;36;21;9;20.69;41.38;10.34;27.59;0.0;0.0
2018;Jan;2018-01-01;National;TOULON;PARIS LYON;241;273;0;42;24;8;38.46;28.21;7.69;20.51;0.0;5.13
2018;Jan;2018-01-01;International;LAUSANNE;PARIS LYON;219;144;3;22;9;2;28.57;14.29;33.33;9.52;0.0;14.29
2018;Jan;2018-01-01;International;PARIS EST;STUTTGART;186;155;4;15;6;2;26.67;6.67;20.0;46.67;0.0;0.0
2018;Jan;2018-01-01;International;PARIS LYON;BARCELONA;387;62;0;8;4;1;12.5;37.5;25.0;25.0;0.0;0.0
2018;Jan;2018-01-01;National;ANGERS SAINT LAUD;PARIS MONTPARNASSE;91;393;2;35;19;4;37.5;37.5;8.93;5.36;8.93;1.79
2018;Jan;2018-01-01;National;PARIS MONTPARNASSE;ANGERS SAINT LAUD;90;385;3;22;8;1;21.43;23.81;21.43;23.81;9.52;0.0
2018;Jan;2018-01-01;National;PARIS MONTPARNASSE;LAVAL;84;217;0;16;5;2;24.24;54.55;3.03;12.12;3.03;3.03
2018;Jan;2018-01-01;National;RENNES;PARIS MONTPARNASSE;99;599;4;51;16;6;20.24;35.71;17.86;16.67;4.76;4.76
2018;Jan;2018-01-01;National;METZ;PARIS EST;85;307;1;17;8;0;18.92;8.11;37.84;29.73;2.7;2.7
2018;Jan;2018-01-01;National;NANCY;PARIS EST;93;306;1;13;5;0;21.05;21.05;36.84;10.53;5.26;5.26
2018;Jan;2018-01-01;National;PARIS EST;NANCY;94;299;3;7;4;0;10.0;10.0;20.0;50.0;10.0;0.0
2018;Jan;2018-01-01;National;LYON PART DIEU;LILLE;189;296;3;64;35;12;30.77;32.69;9.62;17.31;3.85;5.77
2018;Jan;2018-01-01;National;PARIS NORD;LILLE;64;568;5;40;15;6;38.1;21.43;9.52;21.43;9.52;0.0
2018;Jan;2018-01-01;National;BESANCON FRANCHE COMTE TGV;PARIS LYON;131;205;3;9;3;2;30.77;23.08;23.08;0.0;7.69;15.38
2018;Jan;2018-01-01;National;GRENOBLE;PARIS LYON;183;245;0;25;13;6;17.65;52.94;0.0;23.53;5.88;0.0
2018;Jan;2018-01-01;National;NIMES;PARIS LYON;176;341;2;59;32;12;18.75;40.62;17.19;17.19;1.56;4.69
2018;Jan;2018-01-01;National;PARIS LYON;GRENOBLE;180;262;0;32;15;8;15.38;25.64;28.21;28.21;2.56;0.0
2018;Jan;2018-01-01;National;PARIS LYON;LE CREUSOT MONTCEAU MONTCHANIN;78;208;0;14;8;0;20.0;32.0;24.0;20.0;4.0;0.0
2018;Jan;2018-01-01;National;PARIS LYON;MACON LOCHE;95;227;1;23;13;3;12.0;44.0;4.0;36.0;4.0;0.0
2018;Jan;2018-01-01;National;PARIS LYON;NIMES;177;294;0;38;19;8;20.0;32.0;20.0;20.0;8.0;0.0
2018;Jan;2018-01-01;National;SAINT ETIENNE CHATEAUCREUX;PARIS LYON;168;118;0;7;4;2;40.0;30.0;20.0;0.0;10.0;0.0
2018;Jan;2018-01-01;International;FRANCFORT;PARIS EST;224;177;3;25;6;1;30.77;15.38;23.08;15.38;7.69;7.69
2018;Jan;2018-01-01;International;ITALIE;PARIS LYON;439;95;1;34;12;7;23.53;17.65;41.18;17.65;0.0;0.0
2018;Jan;2018-01-01;International;PARIS LYON;ITALIE;394;94;0;22;15;6;33.33;19.05;23.81;14.29;9.52;0.0
2018;Jan;2018-01-01;International;PARIS LYON;LAUSANNE;222;151;2;20;6;2;31.58;26.32;31.58;5.26;0.0;5.26
2018;Jan;2018-01-01;International;ZURICH;PARIS LYON;176;122;3;7;3;1;37.5;12.5;25.0;12.5;0.0;12.5
2018;Jan;2018-01-01;National;ANGOULEME;PARIS MONTPARNASSE;125;270;4;33;9;0;26.92;42.31;9.62;15.38;3.85;1.92
2018;Jan;2018-01-01;National;LYON PART DIEU;RENNES;232;88;2;20;9;2;10.53;63.16;10.53;15.79;0.0;0.0
2018;Jan;2018-01-01;National;NANTES;PARIS MONTPARNASSE;128;525;3;56;29;11;37.33;26.67;21.33;4.0;9.33;1.33
2018;Jan;2018-01-01;National;PARIS MONTPARNASSE;BREST;223;281;1;19;7;4;21.05;47.37;10.53;21.05;0.0;0.0
2018;Jan;2018-01-01;National;PARIS MONTPARNASSE;LA ROCHELLE VILLE;166;226;0;11;6;1;22.22;27.78;16.67;16.67;5.56;11.11
2018;Jan;2018-01-01;National;PARIS MONTPARNASSE;LE MANS;54;441;2;22;9;3;28.95;26.32;10.53;26.32;5.26;2.63
2018;Jan;2018-01-01;National;PARIS MONTPARNASSE;NANTES;124;508;3;39;18;8;33.33;22.22;16.67;20.37;5.56;1.85
2018;Jan;2018-01-01;National;PARIS MONTPARNASSE;TOULOUSE MATABIAU;257;182;1;21;17;7;47.62;28.57;0.0;19.05;4.76;0.0
2018;Jan;2018-01-01;National;PARIS MONTPARNASSE;VANNES;152;253;1;27;16;8;25.64;38.46;12.82;17.95;0.0;5.13
2018;Jan;2018-01-01;National;VANNES;PARIS MONTPARNASSE;156;278;1;25;11;3;24.14;44.83;20.69;3.45;3.45;3.45
2018;Jan;2018-01-01;National;PARIS NORD;DUNKERQUE;116;271;3;18;9;4;35.71;28.57;7.14;25.0;3.57;0.0
2018;Jan;2018-01-01;National;MARSEILLE ST CHARLES;TOURCOING;299;31;0;3;3;3;0.0;33.33;33.33;33.33;0.0;0.0
2018;Jan;2018-01-01;National;ANNECY;PARIS LYON;224;198;0;38;14;5;23.81;42.86;9.52;14.29;4.76;4.76
2018;Jan;2018-01-01;National;AVIGNON TGV;PARIS LYON;159;538;0;62;35;12;36.47;24.71;16.47;18.82;0.0;3.53
2018;Jan;2018-01-01;National;LYON PART DIEU;MARSEILLE ST CHARLES;107;539;7;96;46;21;30.67;28.0;20.0;14.67;1.33;5.33
2018;Jan;2018-01-01;National;PARIS LYON;AVIGNON TGV;159;462;0;45;19;8;30.16;25.4;19.05;22.22;3.17;0.0
2018;Jan;2018-01-01;National;PARIS LYON;BELLEGARDE (AIN);160;231;2;49;24;10;40.0;25.45;25.45;5.45;3.64;0.0
2018;Jan;2018-01-01;National;PARIS LYON;BESANCON FRANCHE COMTE TGV;128;202;2;18;8;2;9.09;36.36;9.09;31.82;9.09;4.55
2018;Jan;2018-01-01;National;PARIS LYON;DIJON VILLE;96;468;6;32;16;4;14.29;40.0;17.14;25.71;2.86;0.0
2018;Jan;2018-01-01;National;PARIS LYON;MONTPELLIER;209;294;0;37;19;6;25.71;45.71;11.43;14.29;2.86;0.0
2018;Jan;2018-01-01;National;VALENCE ALIXAN TGV;PARIS LYON;132;280;2;45;21;7;17.5;37.5;12.5;25.0;2.5;5.0
2018;Jan;2018-01-01;International;MARSEILLE ST CHARLES;MADRID;464;15;0;3;1;0;0.0;0.0;100.0;0.0;0.0;0.0
2018;Jan;2018-01-01;International;STUTTGART;PARIS EST;185;154;5;12;4;1;41.67;25.0;0.0;16.67;0.0;16.67
2018;Jan;2018-01-01;National;LAVAL;PARIS MONTPARNASSE;86;208;0;19;5;2;16.13;35.48;19.35;22.58;3.23;3.23
